ID,vendorName,vendorAddress,vendorPhone,store_ID,inventory_ID
1,Grant-Wiegand,7166 Conn Divide,1-080-325-9776,10,10
2,Doyle and Sons,97040 Urban Shores Apt. 906,290.908.2821x502,20,20
3,"Schowalter, Medhurst and Jones",92118 Sophie Skyway,+69(7)5100022095,30,30
4,Hermann Inc,387 Brown Turnpike Suite 243,(654)403-3029x28570,40,40
5,"Daugherty, O'Connell and Cronin",353 Amelie Rue,(879)613-2151x4214,50,50
6,"Kreiger, West and Beahan",99431 Parker Well Apt. 782,428.752.2644x38947,60,60
7,Anderson Group,08348 Timmothy Well,+97(0)5706851122,70,70
8,"Sporer, Maggio and Gaylord",38613 Emery Harbor,8248009079,80,80
9,"Hodkiewicz, Glover and Nader",87787 Ora Turnpike,1-590-985-2280x67704,90,90
10,Volkman Inc,47665 Aleen Spring Apt. 117,261.075.1301x4830,100,100
11,Hartmann-Erdman,003 Teagan Streets,163-493-2168,110,110
12,Trantow-Hand,73721 Gusikowski Grove,5123370040,120,120
13,Walter-Sawayn,09395 Kaylin Grove,190.557.9619x00585,130,130
14,Lueilwitz-McKenzie,236 Medhurst Gardens,(516)539-0616,140,140
15,Bashirian-Beatty,4336 Turcotte Inlet,721-369-9491x24233,150,150
16,Fay-Weimann,162 Katlyn Trace Apt. 925,1-728-786-1416x5451,160,160
17,Murazik-Connelly,1130 Brent Well Apt. 366,014.816.2316x22770,170,170
18,Barrows Group,3572 Champlin Unions Apt. 037,787.458.2505,180,180
19,Hammes LLC,81886 Hane Oval,(266)818-9919x92199,190,190
20,Welch Ltd,5242 Thompson Orchard,7722801814,200,200
21,Willms PLC,2462 Ernesto Pass,919-701-6225,210,210
22,"Littel, Stokes and Frami",98148 Santiago Walk,760.263.2503x829,220,220
23,Crooks PLC,1007 Jaden Wells Suite 949,002-712-9665x763,230,230
24,Hintz-Ebert,88941 Lubowitz Station,+62(8)7991618500,240,240
25,Thiel-Larkin,540 Jones Way Apt. 548,1-451-228-2256,250,250
26,Funk-Torp,57062 Chelsie Glen,350.559.2179x16946,260,260
27,Collier PLC,737 Issac Run,029-638-8889,270,270
28,Armstrong-Bogisich,372 Dan Village Suite 473,411.402.4915,280,280
29,O'Conner PLC,50598 Botsford Camp,292-766-1329x62562,290,290
30,Lubowitz-Stark,84525 McLaughlin Falls Apt. 219,095.210.7060,300,300
31,Lubowitz-Stark,84525 McLaughlin Falls Apt. 220,095.210.7061,310,310
32,Lubowitz-Stark,84525 McLaughlin Falls Apt. 221,095.210.7062,320,320
33,Lubowitz-Stark,84525 McLaughlin Falls Apt. 222,095.210.7063,330,330
34,Lubowitz-Stark,84525 McLaughlin Falls Apt. 223,095.210.7064,340,340
35,Lubowitz-Stark,84525 McLaughlin Falls Apt. 224,095.210.7065,350,350
36,Lubowitz-Stark,84525 McLaughlin Falls Apt. 225,095.210.7066,360,360
37,Lubowitz-Stark,84525 McLaughlin Falls Apt. 226,095.210.7067,370,370
38,Lubowitz-Stark,84525 McLaughlin Falls Apt. 227,095.210.7068,380,380
39,Lubowitz-Stark,84525 McLaughlin Falls Apt. 228,095.210.7069,390,390
40,Lubowitz-Stark,84525 McLaughlin Falls Apt. 229,095.210.7070,400,400
